epoch,train_loss,test_loss,mse,mae,mean_pearson
1,0.5006710892750157,0.3420272401176897,0.3438597321510315,0.4680844247341156,0.47153133153915405
2,0.3578203026619222,0.2852633847553927,0.2868196666240692,0.4220394194126129,0.5379945039749146
3,0.32143887747769,0.30811506168062525,0.3096993565559387,0.44051238894462585,0.539658784866333
4,0.2996065976443114,0.30497701421268003,0.306095153093338,0.44032081961631775,0.5371444821357727
5,0.2875512117037067,0.25727916769403264,0.2586706876754761,0.39833927154541016,0.5684682726860046
6,0.27625864007406764,0.278224182056081,0.2798338532447815,0.4185032248497009,0.5728030204772949
7,0.26347303106277076,0.26854940806340455,0.2700856924057007,0.4087260961532593,0.5863577723503113
8,0.2561130658895881,0.3088751032780436,0.31072866916656494,0.4430285692214966,0.5737798810005188
9,0.2508914587122423,0.3170763824443172,0.31898239254951477,0.4493277370929718,0.5753854513168335
10,0.24354209739852833,0.3126249272460328,0.3144674003124237,0.44558095932006836,0.5839539766311646
