epoch,train_loss,test_loss,mse,mae,mean_pearson
1,0.539325622591305,0.7994730105766883,0.8010253310203552,0.7194200158119202,0.5282833576202393
2,0.38078078029344536,0.5820288172134986,0.5827251672744751,0.607572615146637,0.5638079643249512
3,0.34456957119275194,0.6721491412474558,0.6733452081680298,0.6587446928024292,0.5856284499168396
4,0.31998975421293446,0.6603378082697208,0.6618952751159668,0.656031608581543,0.6002067923545837
5,0.30791073584754164,0.6240556510595175,0.6252668499946594,0.6342273354530334,0.6161652207374573
6,0.2899393057021866,0.632272537625753,0.6334940195083618,0.638502836227417,0.6331454515457153
7,0.27671897158877407,0.5732982475024003,0.5740517377853394,0.60518479347229,0.6341346502304077
8,0.2691613420926405,0.5126930945194684,0.5135783553123474,0.5729401707649231,0.6423751711845398
9,0.2600655097438925,0.5599673621929608,0.5607869625091553,0.6006943583488464,0.6479474306106567
10,0.25159587347485524,0.5929159620633492,0.593765139579773,0.6210562586784363,0.6414413452148438
