epoch,train_loss,test_loss,mse,mae,mean_pearson
1,0.5486248426182092,2.0371033481303478,2.0375852584838867,1.2126119136810303,0.4786294102668762
2,0.4281224155403232,1.6734371005288706,1.673215389251709,1.0643137693405151,0.5145146250724792
3,0.40369999351738517,2.2727953835621775,2.2737178802490234,1.265960931777954,0.4984222948551178
4,0.3804443588562267,1.7517253800526562,1.7514790296554565,1.080835223197937,0.5046668648719788
5,0.3664345912792031,2.0139251031331566,2.0144686698913574,1.1799925565719604,0.5049552321434021
6,0.3597965706317876,1.458586053160213,1.4574679136276245,0.9782001972198486,0.4997289180755615
7,0.3502510862129368,1.3616067019084956,1.3600332736968994,0.9273768663406372,0.520894467830658
8,0.3426749888045382,1.4421337318900447,1.4411758184432983,0.9611607193946838,0.5253995656967163
9,0.33409365219550197,1.5021542726747141,1.5015591382980347,0.996860146522522,0.5212814807891846
10,0.329889387348186,1.6664972577319048,1.6664726734161377,1.049864649772644,0.5184148550033569
