epoch,train_loss,test_loss,mse,mae,mean_pearson
1,0.4910952198845686,0.539543633048351,0.5404382944107056,0.5959994792938232,0.5885634422302246
2,0.334961888924049,0.6159887355107527,0.6176766753196716,0.6447647213935852,0.6146778464317322
3,0.2995628861103269,0.604993728032479,0.6062824726104736,0.6479881405830383,0.629954993724823
4,0.2767523823522072,0.5011433417980488,0.5015644431114197,0.5796512961387634,0.6466590166091919
5,0.2580082274108961,0.6948051750659943,0.6967591643333435,0.6957961320877075,0.6561431884765625
6,0.2475698245329093,0.7769227502437738,0.778218150138855,0.7438795566558838,0.6535497903823853
7,0.23689398076213744,0.6160402079041187,0.6181161403656006,0.6560648083686829,0.6728233098983765
8,0.22717955176123378,0.5989678272834191,0.6010276675224304,0.6481763124465942,0.6877030730247498
9,0.21711621036955445,0.7142792861048992,0.7168991565704346,0.7182554602622986,0.6922259330749512
10,0.21292420620747035,0.4785127717715043,0.4799628257751465,0.5727581977844238,0.6975084543228149
