epoch,train_loss,test_loss,mse,mae,mean_pearson
1,0.5541500119816505,1.802378350456289,1.8024624586105347,1.1315683126449585,0.4904888868331909
2,0.43037500869247697,1.560940384464776,1.5593719482421875,1.0245249271392822,0.4779353737831116
3,0.39629583570742927,1.6488059359108842,1.6476770639419556,1.049075722694397,0.4800562858581543
4,0.37820011511245605,1.8784428222867466,1.8782321214675903,1.1489269733428955,0.47226226329803467
5,0.3672224066396516,1.6916373280070771,1.690988302230835,1.0690616369247437,0.4800097644329071
6,0.3591302357770745,1.8978628108165407,1.8981189727783203,1.1432920694351196,0.49542367458343506
7,0.3471224810037741,1.733737382312749,1.7335883378982544,1.0795085430145264,0.5105759501457214
8,0.3411281961612902,1.5219282023858705,1.5211743116378784,1.0136134624481201,0.47502830624580383
9,0.33519598761890407,1.7271277340466544,1.7270433902740479,1.0810515880584717,0.5017428994178772
10,0.3280382476048989,1.6189890863911418,1.6179862022399902,1.0280810594558716,0.4816496968269348
