epoch,train_loss,test_loss,mse,mae,mean_pearson
1,0.5162610963538841,0.3281844863317963,0.3299463093280792,0.4384447932243347,0.4537692666053772
2,0.3732740452996007,0.4199629083163756,0.4196060001850128,0.5103462338447571,0.48359251022338867
3,0.33815055279820055,0.4094880260247037,0.4100901782512665,0.5021982789039612,0.49237993359565735
4,0.31316658931749836,0.3286453384653966,0.3302977681159973,0.44121626019477844,0.5082245469093323
5,0.2973936698227017,0.2793279992682593,0.2799851596355438,0.4018958508968353,0.519390881061554
6,0.28704764169675334,0.2815487314771889,0.2827224135398865,0.40526723861694336,0.5362700819969177
7,0.2719514224816252,0.28829799614902724,0.2887345850467682,0.40969792008399963,0.5384876728057861
8,0.26365692543762703,0.26967747711149376,0.27026912569999695,0.39566946029663086,0.5478214025497437
9,0.2557101926041974,0.28444089141107143,0.28522589802742004,0.4086907207965851,0.5541465878486633
10,0.24989964183833863,0.26768809187233,0.2688358426094055,0.3978985548019409,0.559943675994873
